SOURCE,COMMODITY,COUNTRY,TYPE,UNIT_MEAS,PROD_2023,PROD_EST_ 2024,PROD_NOTES,CAP_2023,CAP_EST_ 2024,CAP_NOTES,RESERVES_2024,RESERVE_NOTES,RESERVES_2024_CLEAN,COUNTRY_CLEAN
MCS2025,Abrasives,United States,"Plant capacity, fused aluminum oxide",metric tons,,,estimated for 2023,,,,,,,United States
MCS2025,Abrasives,Australia,"Plant capacity, fused aluminum oxide",metric tons,,,,50000.0,50000.0,,,,,Australia
MCS2025,Abrasives,Austria,"Plant capacity, fused aluminum oxide",metric tons,,,,90000.0,90000.0,,,,,Austria
MCS2025,Abrasives,Brazil,"Plant capacity, fused aluminum oxide",metric tons,,,,50000.0,50000.0,,,,,Brazil
MCS2025,Abrasives,China,"Plant capacity, fused aluminum oxide",metric tons,,,,800000.0,800000.0,,,,,China
MCS2025,Abrasives,France,"Plant capacity, fused aluminum oxide",metric tons,,,,40000.0,40000.0,,,,,France
MCS2025,Abrasives,Germany,"Plant capacity, fused aluminum oxide",metric tons,,,,80000.0,80000.0,,,,,Germany
MCS2025,Abrasives,India,"Plant capacity, fused aluminum oxide",metric tons,,,,40000.0,40000.0,,,,,India
MCS2025,Abrasives,Japan,"Plant capacity, fused aluminum oxide",metric tons,,,,15000.0,15000.0,,,,,Japan
MCS2025,Abrasives,Mexico,"Plant capacity, fused aluminum oxide",metric tons,,,,,,,,,,Mexico
MCS2025,Abrasives,Norway,"Plant capacity, fused aluminum oxide",metric tons,,,,,,,,,,Norway
MCS2025,Abrasives,Venezuela,"Plant capacity, fused aluminum oxide",metric tons,,,,,,,,,,Venezuela
MCS2025,Abrasives,United States,"Plant capacity, silicon carbide",metric tons,,,,40000.0,40000.0,,,,,United States
MCS2025,Abrasives,Australia,"Plant capacity, silicon carbide",metric tons,,,,,,,,,,Australia
MCS2025,Abrasives,Austria,"Plant capacity, silicon carbide",metric tons,,,,,,,,,,Austria
MCS2025,Abrasives,Brazil,"Plant capacity, silicon carbide",metric tons,,,,40000.0,40000.0,,,,,Brazil
MCS2025,Abrasives,China,"Plant capacity, silicon carbide",metric tons,,,,450000.0,450000.0,,,,,China
MCS2025,Abrasives,France,"Plant capacity, silicon carbide",metric tons,,,,20000.0,20000.0,,,,,France
MCS2025,Abrasives,Germany,"Plant capacity, silicon carbide",metric tons,,,,35000.0,35000.0,,,,,Germany
MCS2025,Abrasives,India,"Plant capacity, silicon carbide",metric tons,,,,5000.0,5000.0,,,,,India
MCS2025,Abrasives,Japan,"Plant capacity, silicon carbide",metric tons,,,,60000.0,60000.0,,,,,Japan
MCS2025,Abrasives,Mexico,"Plant capacity, silicon carbide",metric tons,,,,45000.0,45000.0,,,,,Mexico
MCS2025,Abrasives,Norway,"Plant capacity, silicon carbide",metric tons,,,,80000.0,80000.0,,,,,Norway
MCS2025,Abrasives,Venezuela,"Plant capacity, silicon carbide",metric tons,,,,30000.0,30000.0,,,,,Venezuela
MCS2025,Aluminum,United States,"Smelter production, aluminum",thousand metric tons,750.0,670.0,,1360.0,1360.0,,,,,United States
MCS2025,Aluminum,Australia,"Smelter production, aluminum",thousand metric tons,1560.0,1500.0,,1730.0,1730.0,,,,,Australia
MCS2025,Aluminum,Bahrain,"Smelter production, aluminum",thousand metric tons,1620.0,1600.0,,1600.0,1600.0,,,,,Bahrain
MCS2025,Aluminum,Brazil,"Smelter production, aluminum",thousand metric tons,1020.0,1100.0,,1280.0,1280.0,,,,,Brazil
